Corrección de efectos;Componentes del coste;Tipo de dato;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2001T3;4,4
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2001T2;3,5
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2001T1;3,7
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2000T4;..
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2000T3;..
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2000T2;..
Datos no ajustados de estacionalidad y calendario;Coste total por trabajador;Tasa de variación anual;2000T1;..
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2024T4;2.442,32
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2024T3;2.205,43
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2024T2;2.353,59
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2024T1;2.206,06
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2023T4;2.359,38
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2023T3;2.117,8
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2023T2;2.262,63
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2023T1;2.126,63
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2022T4;2.268
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2022T3;2.032,05
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2022T2;2.153,88
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2022T1;2.006,61
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2021T4;2.165,79
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2021T3;1.952,37
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2021T2;2.064,37
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2021T1;1.907,82
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2020T4;2.061,32
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2020T3;1.859,12
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2020T2;1.804,08
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2020T1;1.889,78
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2019T4;2.075,43
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2019T3;1.876,95
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2019T2;1.992,18
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2019T1;1.876,19
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2018T4;2.039,01
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2018T3;1.842,62
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2018T2;1.951,81
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2018T1;1.844,24
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2017T4;2.020,14
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2017T3;1.809,12
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2017T2;1.942,01
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2017T1;1.829,13
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2016T4;2.010,73
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2016T3;1.804,01
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2016T2;1.943,01
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2016T1;1.832,26
