Secciones de la CNAE-09;Tiempo de trabajo;Periodo;Total
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2020T4;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2020T3;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2020T2;0,4
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2020T1;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2019T4;0,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2019T3;0,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2019T2;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2019T1;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2018T4;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2018T3;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2018T2;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2018T1;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2017T4;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2017T3;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2017T2;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2017T1;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2016T4;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2016T3;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2016T2;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2016T1;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2015T4;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2015T3;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2015T2;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2015T1;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2014T4;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2014T3;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2014T2;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2014T1;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2013T4;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2013T3;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2013T2;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2013T1;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2012T4;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2012T3;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2012T2;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2012T1;0,5
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2011T4;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2011T3;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2011T2;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2011T1;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2010T4;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2010T3;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2010T2;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2010T1;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2009T4;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2009T3;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2009T2;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2009T1;0,6
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2008T4;0,7
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2008T3;0,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2008T2;0,8
B_S Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales);Horas extras por trabajador;2008T1;0,8
B Industrias extractivas;Horas pactadas;2024T4;167
B Industrias extractivas;Horas pactadas;2024T3;166,6
B Industrias extractivas;Horas pactadas;2024T2;166,3
B Industrias extractivas;Horas pactadas;2024T1;166,6
B Industrias extractivas;Horas pactadas;2023T4;167,6
B Industrias extractivas;Horas pactadas;2023T3;165,9
B Industrias extractivas;Horas pactadas;2023T2;166,9
B Industrias extractivas;Horas pactadas;2023T1;165,9
B Industrias extractivas;Horas pactadas;2022T4;166,6
B Industrias extractivas;Horas pactadas;2022T3;166,4
B Industrias extractivas;Horas pactadas;2022T2;166,5
B Industrias extractivas;Horas pactadas;2022T1;166,8
B Industrias extractivas;Horas pactadas;2021T4;165,9
B Industrias extractivas;Horas pactadas;2021T3;165,7
B Industrias extractivas;Horas pactadas;2021T2;165,8
B Industrias extractivas;Horas pactadas;2021T1;165,4
B Industrias extractivas;Horas pactadas;2020T4;164,5
B Industrias extractivas;Horas pactadas;2020T3;164,7
B Industrias extractivas;Horas pactadas;2020T2;165,5
B Industrias extractivas;Horas pactadas;2020T1;165,5
B Industrias extractivas;Horas pactadas;2019T4;166,7
B Industrias extractivas;Horas pactadas;2019T3;165,2
B Industrias extractivas;Horas pactadas;2019T2;165,2
B Industrias extractivas;Horas pactadas;2019T1;166,8
B Industrias extractivas;Horas pactadas;2018T4;167,1
B Industrias extractivas;Horas pactadas;2018T3;165,7
B Industrias extractivas;Horas pactadas;2018T2;165,7
B Industrias extractivas;Horas pactadas;2018T1;165,8
B Industrias extractivas;Horas pactadas;2017T4;165,6
B Industrias extractivas;Horas pactadas;2017T3;165,4
B Industrias extractivas;Horas pactadas;2017T2;165,5
B Industrias extractivas;Horas pactadas;2017T1;165,2
B Industrias extractivas;Horas pactadas;2016T4;165,3
B Industrias extractivas;Horas pactadas;2016T3;165,6
B Industrias extractivas;Horas pactadas;2016T2;165,3
B Industrias extractivas;Horas pactadas;2016T1;165,5
B Industrias extractivas;Horas pactadas;2015T4;165,4
B Industrias extractivas;Horas pactadas;2015T3;165,3
