Comunidades y Ciudades Autónomas;Componentes del coste;Tipo de dato;Periodo;Total
Total Nacional;Coste total por trabajador;Tasa de variación anual;2019T3;2,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2019T2;2,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2019T1;2,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2018T4;0,9
Total Nacional;Coste total por trabajador;Tasa de variación anual;2018T3;1,9
Total Nacional;Coste total por trabajador;Tasa de variación anual;2018T2;0,7
Total Nacional;Coste total por trabajador;Tasa de variación anual;2018T1;0,7
Total Nacional;Coste total por trabajador;Tasa de variación anual;2017T4;0,7
Total Nacional;Coste total por trabajador;Tasa de variación anual;2017T3;0,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2017T2;-0,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2017T1;0
Total Nacional;Coste total por trabajador;Tasa de variación anual;2016T4;-0,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2016T3;-0,5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2016T2;-0,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2016T1;-0,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2015T4;1,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2015T3;0,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2015T2;0,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2015T1;0,5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2014T4;-0,5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2014T3;-0,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2014T2;-0,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2014T1;-0,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2013T4;2,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2013T3;0,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2013T2;-0,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2013T1;-1,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2012T4;-3,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2012T3;-0,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2012T2;-0,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2012T1;1,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2011T4;1,6
Total Nacional;Coste total por trabajador;Tasa de variación anual;2011T3;1,5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2011T2;0,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2011T1;0,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2010T4;-0,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2010T3;-0,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2010T2;1,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2010T1;1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2009T4;2,5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2009T3;3,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2009T2;4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2009T1;4,2
Total Nacional;Coste total por trabajador;Tasa de variación anual;2008T4;5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2008T3;4,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2008T2;4,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2008T1;4,6
Total Nacional;Coste total por trabajador;Tasa de variación anual;2007T4;4,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2007T3;4,1
Total Nacional;Coste total por trabajador;Tasa de variación anual;2007T2;3,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2007T1;4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2006T4;4,7
Total Nacional;Coste total por trabajador;Tasa de variación anual;2006T3;4,7
Total Nacional;Coste total por trabajador;Tasa de variación anual;2006T2;5,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2006T1;4,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2005T4;2,9
Total Nacional;Coste total por trabajador;Tasa de variación anual;2005T3;2,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2005T2;3,5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2005T1;2,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2004T4;2,5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2004T3;2,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2004T2;3,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2004T1;3,9
Total Nacional;Coste total por trabajador;Tasa de variación anual;2003T4;4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2003T3;3,9
Total Nacional;Coste total por trabajador;Tasa de variación anual;2003T2;4,8
Total Nacional;Coste total por trabajador;Tasa de variación anual;2003T1;5,6
Total Nacional;Coste total por trabajador;Tasa de variación anual;2002T4;4,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2002T3;4,3
Total Nacional;Coste total por trabajador;Tasa de variación anual;2002T2;4,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2002T1;4,6
Total Nacional;Coste total por trabajador;Tasa de variación anual;2001T4;4,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2001T3;4,4
Total Nacional;Coste total por trabajador;Tasa de variación anual;2001T2;3,5
Total Nacional;Coste total por trabajador;Tasa de variación anual;2001T1;3,7
