Comunidades y Ciudades Autónomas;Periodo;Total
07 Castilla y León;2015T4;15,89
07 Castilla y León;2015T3;13,97
07 Castilla y León;2015T2;16,12
07 Castilla y León;2015T1;16,5
07 Castilla y León;2014T4;18,24
07 Castilla y León;2014T3;14,32
07 Castilla y León;2014T2;15,65
07 Castilla y León;2014T1;15,54
07 Castilla y León;2013T4;16,07
07 Castilla y León;2013T3;15,94
07 Castilla y León;2013T2;17,02
07 Castilla y León;2013T1;17,16
07 Castilla y León;2012T4;15,4
07 Castilla y León;2012T3;17,72
07 Castilla y León;2012T2;18,48
07 Castilla y León;2012T1;19,47
07 Castilla y León;2011T4;20,44
07 Castilla y León;2011T3;21,07
07 Castilla y León;2011T2;18,4
07 Castilla y León;2011T1;20,18
07 Castilla y León;2010T4;17,98
07 Castilla y León;2010T3;15,41
07 Castilla y León;2010T2;17,36
07 Castilla y León;2010T1;20,01
07 Castilla y León;2009T4;17,16
07 Castilla y León;2009T3;15,81
07 Castilla y León;2009T2;16,5
07 Castilla y León;2009T1;16,62
07 Castilla y León;2008T4;18,82
07 Castilla y León;2008T3;17,17
07 Castilla y León;2008T2;17,89
07 Castilla y León;2008T1;18,04
08 Castilla - La Mancha;2024T4;21,76
08 Castilla - La Mancha;2024T3;20,61
08 Castilla - La Mancha;2024T2;22,05
08 Castilla - La Mancha;2024T1;21,5
08 Castilla - La Mancha;2023T4;20,13
08 Castilla - La Mancha;2023T3;20,54
08 Castilla - La Mancha;2023T2;20,56
08 Castilla - La Mancha;2023T1;19,09
08 Castilla - La Mancha;2022T4;21,3
08 Castilla - La Mancha;2022T3;19,13
08 Castilla - La Mancha;2022T2;21,16
08 Castilla - La Mancha;2022T1;18,66
08 Castilla - La Mancha;2021T4;20,08
08 Castilla - La Mancha;2021T3;17,9
08 Castilla - La Mancha;2021T2;18,88
08 Castilla - La Mancha;2021T1;18,66
08 Castilla - La Mancha;2020T4;17,63
08 Castilla - La Mancha;2020T3;14,46
08 Castilla - La Mancha;2020T2;20,27
08 Castilla - La Mancha;2020T1;16,85
08 Castilla - La Mancha;2019T4;17,44
08 Castilla - La Mancha;2019T3;15,81
08 Castilla - La Mancha;2019T2;17,01
08 Castilla - La Mancha;2019T1;17,49
08 Castilla - La Mancha;2018T4;16,78
08 Castilla - La Mancha;2018T3;15,51
08 Castilla - La Mancha;2018T2;16,6
08 Castilla - La Mancha;2018T1;16,85
08 Castilla - La Mancha;2017T4;16,58
08 Castilla - La Mancha;2017T3;16,93
08 Castilla - La Mancha;2017T2;16,64
08 Castilla - La Mancha;2017T1;16,87
08 Castilla - La Mancha;2016T4;17,11
08 Castilla - La Mancha;2016T3;17,68
08 Castilla - La Mancha;2016T2;19,51
08 Castilla - La Mancha;2016T1;18,54
08 Castilla - La Mancha;2015T4;19,37
08 Castilla - La Mancha;2015T3;23,14
08 Castilla - La Mancha;2015T2;18,68
08 Castilla - La Mancha;2015T1;18,04
08 Castilla - La Mancha;2014T4;18,61
08 Castilla - La Mancha;2014T3;18,16
08 Castilla - La Mancha;2014T2;18,32
08 Castilla - La Mancha;2014T1;20,02
08 Castilla - La Mancha;2013T4;15,05
08 Castilla - La Mancha;2013T3;19,17
08 Castilla - La Mancha;2013T2;17,49
08 Castilla - La Mancha;2013T1;15,77
08 Castilla - La Mancha;2012T4;16,27
08 Castilla - La Mancha;2012T3;16,56
08 Castilla - La Mancha;2012T2;18,19
08 Castilla - La Mancha;2012T1;17,39
08 Castilla - La Mancha;2011T4;15,61
08 Castilla - La Mancha;2011T3;15,6
08 Castilla - La Mancha;2011T2;14,56
08 Castilla - La Mancha;2011T1;17,22
08 Castilla - La Mancha;2010T4;15,19
08 Castilla - La Mancha;2010T3;14,85
08 Castilla - La Mancha;2010T2;17,15
08 Castilla - La Mancha;2010T1;21,23
08 Castilla - La Mancha;2009T4;16,79
08 Castilla - La Mancha;2009T3;15,58
08 Castilla - La Mancha;2009T2;17,34
08 Castilla - La Mancha;2009T1;21,55
08 Castilla - La Mancha;2008T4;14,38
08 Castilla - La Mancha;2008T3;14,55
08 Castilla - La Mancha;2008T2;16,38
08 Castilla - La Mancha;2008T1;15,06
09 Cataluña;2024T4;20,1
09 Cataluña;2024T3;19,15
09 Cataluña;2024T2;20,32
09 Cataluña;2024T1;20,34
09 Cataluña;2023T4;19,83
09 Cataluña;2023T3;18,3
09 Cataluña;2023T2;19,3
09 Cataluña;2023T1;19,42
09 Cataluña;2022T4;18,96
09 Cataluña;2022T3;17,36
09 Cataluña;2022T2;18,11
09 Cataluña;2022T1;19,35
09 Cataluña;2021T4;18,6
09 Cataluña;2021T3;18,22
09 Cataluña;2021T2;18,1
09 Cataluña;2021T1;18,08
09 Cataluña;2020T4;18,58
09 Cataluña;2020T3;17,01
09 Cataluña;2020T2;18,05
09 Cataluña;2020T1;18,25
09 Cataluña;2019T4;17,32
09 Cataluña;2019T3;16,01
09 Cataluña;2019T2;17,01
09 Cataluña;2019T1;17,76
09 Cataluña;2018T4;16,73
09 Cataluña;2018T3;16,59
09 Cataluña;2018T2;17,36
09 Cataluña;2018T1;17,36
09 Cataluña;2017T4;17,07
09 Cataluña;2017T3;15,87
09 Cataluña;2017T2;16,89
09 Cataluña;2017T1;16,55
09 Cataluña;2016T4;17,07
09 Cataluña;2016T3;15,62
09 Cataluña;2016T2;16,39
09 Cataluña;2016T1;17,11
09 Cataluña;2015T4;16,59
